,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
716,IGM FINANCIAL INC,CA4495861060,Canada,CAD,Toronto Stock Exchange,Equities,A1,S&P/TSX COMPOSITE Index,Financials,0.02%
717,NISSAN MOTOR LTD,JP3672400003,Japan,JPY,Tokyo Stock Exchange,Equities,Baa1,TOPIX Index,Consumer Discretionary,0.02%
718,HENDERSON LAND DEVELOPMENT LTD,HK0012000102,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Real Estate,0.02%
719,MERIDIAN ENERGY LTD,NZMELE0002S7,New Zealand,NZD,New Zealand Exchange,Equities,-,-,Utilities,0.02%
720,INDRA SISTEMAS SA,ES0118594417,Spain,EUR,Mercado Continuo Espana,Equities,-,IBEX 35 Index,Information Technology,0.02%
721,SANDS CHINA LTD,KYG7800X1079,Macao,HKD,-,Equities,-,Hang Seng Index,Consumer Discretionary,0.02%
722,AEROPORTS DE PARIS SA,FR0010340141,France,EUR,Euronext Paris,Equities,A1,CAC 40 Index,Industrials,0.02%
723,WHARF REAL ESTATE INVESTMENT COMPA,KYG9593A1040,Hong Kong,HKD,-,Equities,-,-,Real Estate,0.02%
724,SOFINA SA,BE0003717312,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Financials,0.02%
725,DIETEREN GROUP SA,BE0974259880,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Consumer Discretionary,0.02%
726,LUNDBERGFORETAGEN CLASS B,SE0000108847,Sweden,SEK,Stockholm Stock Exchange,Equities,A1,OMX Stockholm 30 Index,Financials,0.02%
727,HIKARI TSUSHIN INC,JP3783420007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.02%
728,NEXON LTD,JP3758190007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Communication Services,0.02%
729,EMPIRE LTD CLASS A,CA2918434077,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Consumer Staples,0.02%
730,BUZZI,IT0001347308,Italy,EUR,Milan Stock Exchange,Equities,Ba1,FTSE Italia All-Share Index,Materials,0.02%
731,OTSUKA CORP,JP3188200004,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.02%
732,RATIONAL AG,DE0007010803,Germany,EUR,XETRA,Equities,-,DAX Index,Industrials,0.02%
733,VAR ENERGI,NO0011202772,Norway,NOK,Oslo Stock Exchange,Equities,-,Oslo SE All-share Index,Energy,0.02%
734,SUNTORY BEVERAGE & FOOD LTD,JP3336560002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Staples,0.02%
735,SEIBU HOLDINGS INC,JP3417200007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.02%
736,GECINA SA,FR0010040865,France,EUR,Euronext Paris,Equities,Baa2,CAC 40 Index,Real Estate,0.02%
737,SWIRE PACIFIC LTD A,HK0019000162,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Industrials,0.02%
738,NEMETSCHEK,DE0006452907,Germany,EUR,XETRA,Equities,-,DAX Index,Information Technology,0.02%
739,KYOWA KIRIN LTD,JP3256000005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Health Care,0.02%
740,ICL GROUP LTD,IL0002810146,Israel,ILS,-,Equities,-,-,Materials,0.02%
741,DAVIDE CAMPARI MILANO NV,NL0015435975,Italy,EUR,-,Equities,-,-,Consumer Staples,0.01%
742,FASTIGHETS BALDER CLASS B,SE0017832488,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Real Estate,0.01%
743,SALMAR,NO0010310956,Norway,NOK,Oslo Stock Exchange,Equities,-,Oslo SE All-share Index,Consumer Staples,0.01%
744,POUND STERLING,_CURRENCYGBP,United Kingdom,GBP,-,Cash,-,-,unknown,0.01%
745,CTS EVENTIM AG,DE0005470306,Germany,EUR,XETRA,Equities,-,DAX Index,Communication Services,0.01%
746,BMW PREF AG,DE0005190037,Germany,EUR,XETRA,Equities,-,DAX Index,Consumer Discretionary,0.01%
747,SAGAX CLASS B,SE0005127818,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Real Estate,0.01%
748,BKW N AG,CH0130293662,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Utilities,0.01%
749,OCTAVE INTELLIGENCE SDR PLC,SE0028329433,United States,SEK,-,Equities,-,-,Information Technology,0.01%
750,DEMANT,DK0060738599,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Health Care,0.01%
751,AIRTEL AFRICA PLC,GB00BKDRYJ47,United Kingdom,GBP,-,Equities,-,-,Communication Services,0.01%
752,COVIVIO SA,FR0000064578,France,EUR,Euronext Paris,Equities,Baa3,CAC 40 Index,Real Estate,0.01%
753,BIOMERIEUX SA,FR0013280286,France,EUR,-,Equities,-,-,Health Care,0.01%
754,SINGAPORE DOLLAR,_CURRENCYSGD,Singapore,SGD,-,Cash,-,-,unknown,0.01%
755,ANA HOLDINGS INC,JP3429800000,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.01%
756,ROCKWOOL CLASS B,DK0063855168,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,-,Industrials,0.01%
757,CVC CAPITAL PARTNERS PLC,JE00BRX98089,Jersey,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Financials,0.01%
758,CANADIAN DOLLAR,_CURRENCYCAD,Canada,CAD,-,Cash,-,-,unknown,0.01%
759,BOLLORE,FR0000039299,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Energy,0.01%
760,LATOUR INVESTMENT CLASS B,SE0010100958,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Industrials,0.01%
761,VERISURE PLC,GB00BVMN1558,United Kingdom,EUR,-,Equities,-,OMX Stockholm 30 Index,Industrials,0.01%
762,HONG KONG DOLLAR,_CURRENCYHKD,Hong Kong,HKD,-,Cash,-,-,unknown,0.01%
763,NORWEGIAN KRONE,_CURRENCYNOK,Norway,NOK,-,Cash,-,-,unknown,0.01%
764,CSG CLASS A NV,NL0015073TS8,Czech Republic,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Industrials,0.01%
765,AUSTRALIAN DOLLAR,_CURRENCYAUD,Australia,AUD,-,Cash,-,-,unknown,0.01%
766,NEW ZEALAND DOLLAR,_CURRENCYNZD,New Zealand,NZD,-,Cash,-,-,unknown,0.00%
767,ACS ACTIVIDADES DE CONSTRUCCIO,ES06670509T7,Spain,EUR,-,Right,-,-,unknown,0.00%
768,SWEDISH KRONA,_CURRENCYSEK,Sweden,SEK,-,Cash,-,-,unknown,0.00%
769,DANISH KRONE,_CURRENCYDKK,Denmark,DKK,-,Cash,-,-,unknown,0.00%
770,SWISS FRANC,_CURRENCYCHF,Switzerland,CHF,-,Cash,-,-,unknown,0.00%
771,MSCI EAFE         SEP26,___ADI2VCFQ5,United States,USD,-,Future,-,-,unknown,N/A
772,S+P/TSX 60 IX FUT SEP26,___ADI393JJ0,Canada,CAD,-,Future,-,-,unknown,N/A
773,NEW ISRAELI SHEQEL,_CURRENCYILS,Israel,ILS,-,Cash,-,-,unknown,0.00%
774,EURO CURRENCY,_CURRENCYEUR,-,EUR,-,Cash,-,-,unknown,-0.04%
