,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
394,MITSUI KINZOKU LIMITED LTD,JP3888400003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.06%
395,DASSAULT SYSTEMES,FR0014003TT8,France,EUR,-,Equities,-,-,Information Technology,0.06%
396,UPM-KYMMENE,FI0009005987,Finland,EUR,Helsinki Stock Exchange,Equities,Ba1,OMX Helsinki Index,Materials,0.06%
397,KINGSPAN GROUP PLC,IE0004927939,Ireland,EUR,Irish Stock Exchange,Equities,-,ISEQ Irish Overall Index,Industrials,0.06%
398,SUMITOMO REALTY & DEVELOPMENT LTD,JP3409000001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Real Estate,0.06%
399,DAIFUKU LTD,JP3497400006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.06%
400,HYDRO ONE LTD,CA4488112083,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Utilities,0.06%
401,NITTO DENKO CORP,JP3684000007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.06%
402,ASAHI KASEI CORP,JP3111200006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.06%
403,ASAHI GROUP HOLDINGS LTD,JP3116000005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Staples,0.05%
404,COMPUTERSHARE LTD,AU000000CPU5,United States,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Industrials,0.05%
405,NIDEC CORP,JP3734800000,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.05%
406,KANSAI ELECTRIC POWER INC,JP3228600007,Japan,JPY,Tokyo Stock Exchange,Equities,A3,TOPIX Index,Utilities,0.05%
407,KAWASAKI HEAVY INDUSTRIES LTD,JP3224200000,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.05%
408,SYMRISE AG,DE000SYM9999,Germany,EUR,XETRA,Equities,-,DAX Index,Materials,0.05%
409,NESTE,FI0009013296,Finland,EUR,Helsinki Stock Exchange,Equities,-,OMX Helsinki Index,Energy,0.05%
410,SWISS PRIME SITE AG,CH0008038389,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Real Estate,0.05%
411,SCHINDLER HOLDING PAR AG,CH0024638196,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Industrials,0.05%
412,SIEMENS HEALTHINEERS AG,DE000SHL1006,Germany,EUR,XETRA,Equities,-,DAX Index,Health Care,0.05%
413,TOROMONT INDUSTRIES LTD,CA8911021050,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Industrials,0.05%
414,SHIONOGI LTD,JP3347200002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Health Care,0.05%
415,COCA COLA HBC AG,CH0198251305,Italy,GBP,London Stock Exchange,Equities,Baa1,FTSE 100 Index,Consumer Staples,0.05%
416,NATURGY ENERGY GROUP SA,ES0116870314,Spain,EUR,Mercado Continuo Espana,Equities,Baa2,IBEX 35 Index,Utilities,0.05%
417,FISHER AND PAYKEL HEALTHCARE CORPO,NZFAPE0001S2,New Zealand,NZD,New Zealand Exchange,Equities,-,NZX 50 Index,Health Care,0.05%
418,UNITED UTILITIES GROUP PLC,GB00B39J2M42,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Utilities,0.05%
419,RYANAIR HOLDINGS PLC,IE00BYTBXV33,Ireland,EUR,Irish Stock Exchange,Equities,-,ISEQ Irish Overall Index,Industrials,0.05%
420,ALAMOS GOLD INC CLASS A,CA0115321089,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Materials,0.05%
421,WHITECAP RESOURCES INC,CA96467A2002,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Energy,0.05%
422,SEKISUI HOUSE LTD,JP3420600003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.05%
423,ORIGIN ENERGY LTD,AU000000ORG5,Australia,AUD,Australian Stock Exchange,Equities,Baa2,ASX All Ordinaries Index,Utilities,0.05%
424,HENKEL & KGAA PREF AG,DE0006048432,Germany,EUR,XETRA,Equities,A2,DAX Index,Consumer Staples,0.05%
425,MONCLER,IT0004965148,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Consumer Discretionary,0.05%
426,CHUBU ELECTRIC POWER INC,JP3526600006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Utilities,0.05%
427,OBAYASHI CORP,JP3190000004,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.05%
428,UNIBAIL RODAMCO WE STAPLED UNITS,FR0013326246,France,EUR,-,Equities,-,-,Real Estate,0.05%
429,T&D HOLDINGS INC,JP3539220008,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Financials,0.05%
430,TAISEI CORP,JP3443600006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.05%
431,CARLSBERG CLASS B,DK0010181759,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Consumer Staples,0.05%
432,PHOENIX FINANCIAL LTD,IL0007670123,Israel,ILS,-,Equities,-,-,Financials,0.05%
433,SINGAPORE TECHNOLOGIES ENGINEERING,SG1F60858221,Singapore,SGD,-,Equities,-,-,Industrials,0.05%
434,NIPPON YUSEN,JP3753000003,Japan,JPY,Tokyo Stock Exchange,Equities,Baa2,TOPIX Index,Industrials,0.05%
435,EURONEXT NV,NL0006294274,Netherlands,EUR,Euronext Paris,Equities,-,CAC 40 Index,Financials,0.05%
436,ROCHE HOLDING AG,CH0012032113,Switzerland,CHF,NASDAQ National Market System,Equities,-,Swiss Market Index,Health Care,0.05%
