Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"LII","LENNOX INTERNATIONAL INC","Industrials","Equity","4,407,471.96","0.20","4,407,471.96","7,732.00","570.03","United States","New York Stock Exchange Inc.","USD"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrials","Equity","4,342,241.41","0.19","4,342,241.41","25,913.00","167.57","United States","New York Stock Exchange Inc.","USD"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","4,032,832.00","0.18","4,032,832.00","41,320.00","97.60","United States","NASDAQ","USD"
"EA","ELECTRONIC ARTS INC","Communication","Equity","3,730,717.80","0.17","3,730,717.80","18,180.00","205.21","United States","NASDAQ","USD"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","3,637,019.80","0.16","3,637,019.80","38,540.00","94.37","United States","New York Stock Exchange Inc.","USD"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","3,632,676.84","0.16","3,632,676.84","18,729.00","193.96","United States","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","3,541,018.36","0.16","3,541,018.36","35,410.00","100.00","United States","-","USD"
"AFL","AFLAC INC","Financials","Equity","3,464,662.56","0.15","3,464,662.56","28,662.00","120.88","United States","New York Stock Exchange Inc.","USD"
"DVN","DEVON ENERGY CORP","Energy","Equity","3,463,341.66","0.15","3,463,341.66","85,578.00","40.47","United States","New York Stock Exchange Inc.","USD"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","3,386,615.34","0.15","3,386,615.34","48,498.00","69.83","United States","New York Stock Exchange Inc.","USD"
"FFIV","F5 INC","Information Technology","Equity","3,378,991.06","0.15","3,378,991.06","8,279.00","408.14","United States","NASDAQ","USD"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","3,173,464.80","0.14","3,173,464.80","42,426.00","74.80","United States","New York Stock Exchange Inc.","USD"
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","2,922,881.60","0.13","2,922,881.60","7,178.00","407.20","United States","New York Stock Exchange Inc.","USD"
"WAT","WATERS CORP","Health Care","Equity","2,876,156.07","0.13","2,876,156.07","7,583.00","379.29","United States","New York Stock Exchange Inc.","USD"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","2,859,290.01","0.13","2,859,290.01","62,883.00","45.47","United States","NASDAQ","USD"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","2,833,506.75","0.13","2,833,506.75","20,555.00","137.85","United States","New York Stock Exchange Inc.","USD"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","2,742,240.93","0.12","2,742,240.93","65,307.00","41.99","United States","NASDAQ","USD"
"FN","FABRINET","Information Technology","Equity","2,469,072.62","0.11","2,469,072.62","4,942.00","499.61","United States","New York Stock Exchange Inc.","USD"
"ROL","ROLLINS INC","Industrials","Equity","2,409,759.00","0.11","2,409,759.00","55,550.00","43.38","United States","New York Stock Exchange Inc.","USD"
"RMD","RESMED INC","Health Care","Equity","2,395,861.27","0.11","2,395,861.27","11,429.00","209.63","United States","New York Stock Exchange Inc.","USD"
"DXCM","DEXCOM INC","Health Care","Equity","2,268,030.00","0.10","2,268,030.00","31,832.00","71.25","United States","NASDAQ","USD"
"CDE","COEUR MINING INC","Materials","Equity","2,241,958.90","0.10","2,241,958.90","129,593.00","17.30","United States","New York Stock Exchange Inc.","USD"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","2,186,875.60","0.10","2,186,875.60","21,398.00","102.20","United States","NASDAQ","USD"
"HAL","HALLIBURTON","Energy","Equity","2,079,874.88","0.09","2,079,874.88","63,103.00","32.96","United States","New York Stock Exchange Inc.","USD"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","2,075,336.30","0.09","2,075,336.30","17,506.00","118.55","United States","NASDAQ","USD"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","2,063,629.12","0.09","2,063,629.12","8,288.00","248.99","United States","Cboe BZX","USD"
"GGG","GRACO INC","Industrials","Equity","2,031,555.24","0.09","2,031,555.24","27,001.00","75.24","United States","New York Stock Exchange Inc.","USD"
"RJF","RAYMOND JAMES INC","Financials","Equity","2,025,930.30","0.09","2,025,930.30","12,455.00","162.66","United States","New York Stock Exchange Inc.","USD"
"OMC","OMNICOM GROUP INC","Communication","Equity","1,888,373.78","0.08","1,888,373.78","24,019.00","78.62","United States","New York Stock Exchange Inc.","USD"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","1,810,860.00","0.08","1,810,860.00","60,362.00","30.00","United States","NASDAQ","USD"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","1,755,387.26","0.08","1,755,387.26","6,133.00","286.22","United States","NASDAQ","USD"
"WST","WEST PHARMACEUTICAL SERVICES INC","Health Care","Equity","1,754,454.78","0.08","1,754,454.78","4,797.00","365.74","United States","New York Stock Exchange Inc.","USD"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","1,711,395.32","0.08","1,711,395.32","56,519.00","30.28","United States","New York Stock Exchange Inc.","USD"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","1,652,720.43","0.07","1,652,720.43","2,973.00","555.91","United States","NASDAQ","USD"
"EXE","EXPAND ENERGY CORP","Energy","Equity","1,633,050.72","0.07","1,633,050.72","18,001.00","90.72","United States","NASDAQ","USD"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","1,257,312.42","0.06","1,257,312.42","6,903.00","182.14","United States","New York Stock Exchange Inc.","USD"
"RPM","RPM INTERNATIONAL INC","Materials","Equity","1,256,617.96","0.06","1,256,617.96","11,258.00","111.62","United States","New York Stock Exchange Inc.","USD"
"WRB","WR BERKLEY CORP","Financials","Equity","1,126,466.24","0.05","1,126,466.24","15,628.00","72.08","United States","New York Stock Exchange Inc.","USD"
"CHD","CHURCH AND DWIGHT INC","Consumer Staples","Equity","1,007,396.20","0.04","1,007,396.20","10,217.00","98.60","United States","New York Stock Exchange Inc.","USD"
"TW","TRADEWEB MARKETS INC CLASS A","Financials","Equity","820,366.99","0.04","820,366.99","7,981.00","102.79","United States","NASDAQ","USD"
"MKC","MCCORMICK & CO NON-VOTING INC","Consumer Staples","Equity","621,570.05","0.03","621,570.05","11,629.00","53.45","United States","New York Stock Exchange Inc.","USD"
"ERIE","ERIE INDEMNITY CLASS A","Financials","Equity","510,463.25","0.02","510,463.25","1,969.00","259.25","United States","NASDAQ","USD"
"HSBFT","CASH COLLATERAL USD HSBFT","Cash and/or Derivatives","Cash Collateral and Margins","223,000.00","0.01","223,000.00","2,230.00","100.00","United States","-","USD"
"MBGL","MOBILITY GLOBAL INC","Information Technology","Equity","155,746.80","0.01","155,746.80","7,866.00","19.80","United States","New York Stock Exchange Inc.","USD"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","29,341.66","0.00","29,341.66","25,642.00","-","European Union","-","EUR"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","12,008.71","0.00","12,008.71","8,979.00","-","United Kingdom","-","GBP"
"ESU6","S&P500 EMINI SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","3,011,300.00","0.00","7,528.25","-","Index And Options Market","USD"
 
