Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","1,016,694.22","0.02","1,016,694.22","37,351.00","27.22","United States","NASDAQ","USD"
"LYB","LYONDELLBASELL INDUSTRIES CLASS A","Materials","Equity","1,005,035.60","0.02","1,005,035.60","18,835.00","53.36","United States","New York Stock Exchange Inc.","USD"
"TEAM","ATLASSIAN CORP CLASS A","Information Technology","Equity","997,528.32","0.02","997,528.32","11,898.00","83.84","United States","NASDAQ","USD"
"AVY","AVERY DENNISON CORP","Materials","Equity","995,308.17","0.02","995,308.17","5,961.00","166.97","United States","New York Stock Exchange Inc.","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","995,660.40","0.02","995,660.40","7,257.00","137.20","United States","NASDAQ","USD"
"SN","SHARKNINJA INC","Consumer Discretionary","Equity","994,854.96","0.02","994,854.96","6,568.00","151.47","United States","New York Stock Exchange Inc.","USD"
"SSNC","SS AND C TECHNOLOGIES HOLDINGS INC","Industrials","Equity","986,927.76","0.02","986,927.76","15,063.00","65.52","United States","NASDAQ","USD"
"IREN","IREN LTD","Information Technology","Equity","973,450.32","0.02","973,450.32","25,076.00","38.82","United States","NASDAQ","USD"
"APTV","APTIV PLC","Consumer Discretionary","Equity","970,566.09","0.02","970,566.09","16,481.00","58.89","United States","New York Stock Exchange Inc.","USD"
"TRMB","TRIMBLE INC","Information Technology","Equity","950,052.48","0.02","950,052.48","17,912.00","53.04","United States","NASDAQ","USD"
"TW","TRADEWEB MARKETS INC CLASS A","Financials","Equity","949,471.23","0.02","949,471.23","9,237.00","102.79","United States","NASDAQ","USD"
"WSO","WATSCO INC","Industrials","Equity","939,331.91","0.02","939,331.91","2,321.00","404.71","United States","New York Stock Exchange Inc.","USD"
"FOXA","FOX CORP CLASS A","Communication","Equity","934,009.76","0.02","934,009.76","16,537.00","56.48","United States","NASDAQ","USD"
"TOST","TOAST INC CLASS A","Financials","Equity","930,309.60","0.02","930,309.60","32,280.00","28.82","United States","New York Stock Exchange Inc.","USD"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","928,590.00","0.02","928,590.00","30,953.00","30.00","United States","NASDAQ","USD"
"ROL","ROLLINS INC","Industrials","Equity","920,610.36","0.02","920,610.36","21,222.00","43.38","United States","New York Stock Exchange Inc.","USD"
"MKC","MCCORMICK & CO NON-VOTING INC","Consumer Staples","Equity","912,444.95","0.02","912,444.95","17,071.00","53.45","United States","New York Stock Exchange Inc.","USD"
"GGG","GRACO INC","Industrials","Equity","905,212.44","0.02","905,212.44","12,031.00","75.24","United States","New York Stock Exchange Inc.","USD"
"ALLE","ALLEGION PLC","Industrials","Equity","887,762.70","0.02","887,762.70","6,315.00","140.58","United States","New York Stock Exchange Inc.","USD"
"CLX","CLOROX","Consumer Staples","Equity","850,733.22","0.02","850,733.22","8,747.00","97.26","United States","New York Stock Exchange Inc.","USD"
"PODD","INSULET CORP","Health Care","Equity","835,722.88","0.02","835,722.88","5,081.00","164.48","United States","NASDAQ","USD"
"DPZ","DOMINOS PIZZA INC","Consumer Discretionary","Equity","829,950.58","0.02","829,950.58","2,663.00","311.66","United States","NASDAQ","USD"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","809,519.04","0.02","809,519.04","6,072.00","133.32","United States","NASDAQ","USD"
"CNH","CNH INDUSTRIAL N.V. NV","Industrials","Equity","806,830.08","0.02","806,830.08","75,264.00","10.72","United States","New York Stock Exchange Inc.","USD"
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Real Estate","Equity","789,473.85","0.02","789,473.85","17,963.00","43.95","United States","NASDAQ","USD"
"FNF","FIDELITY NATIONAL FINANCIAL INC","Financials","Equity","778,753.80","0.02","778,753.80","15,945.00","48.84","United States","New York Stock Exchange Inc.","USD"
"CRCL","CIRCLE INTERNET GROUP INC CLASS A","Information Technology","Equity","741,256.02","0.01","741,256.02","11,471.00","64.62","United States","New York Stock Exchange Inc.","USD"
"CG","CARLYLE GROUP INC","Financials","Equity","664,079.15","0.01","664,079.15","15,505.00","42.83","United States","NASDAQ","USD"
"NWSA","NEWS CORP CLASS A","Communication","Equity","663,575.76","0.01","663,575.76","24,909.00","26.64","United States","NASDAQ","USD"
"H","HYATT HOTELS CORP CLASS A","Consumer Discretionary","Equity","630,458.88","0.01","630,458.88","3,296.00","191.28","United States","New York Stock Exchange Inc.","USD"
"CRBG","COREBRIDGE FINANCIAL INC","Financials","Equity","630,078.72","0.01","630,078.72","21,172.00","29.76","United States","New York Stock Exchange Inc.","USD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","616,725.14","0.01","616,725.14","616,725.00","1.00","Ireland","-","USD"
"FOX","FOX CORP CLASS B","Communication","Equity","532,649.60","0.01","532,649.60","10,535.00","50.56","United States","NASDAQ","USD"
"ERIE","ERIE INDEMNITY CLASS A","Financials","Equity","468,983.25","0.01","468,983.25","1,809.00","259.25","United States","NASDAQ","USD"
"MSIFT","CASH COLLATERAL USD MSIFT","Cash and/or Derivatives","Cash Collateral and Margins","418,000.00","0.01","418,000.00","418,000.00","100.00","United States","-","USD"
"MBGL","MOBILITY GLOBAL INC","Information Technology","Equity","190,495.80","0.00","190,495.80","9,621.00","19.80","United States","New York Stock Exchange Inc.","USD"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","121,699.59","0.00","121,699.59","91,001.00","133.73","United Kingdom","-","GBP"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","5,054.79","0.00","5,054.79","4,417.00","114.43","European Union","-","EUR"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","653.70","0.00","653.70","927.00","70.51","Canada","-","CAD"
"HOLX","HOLOGIC INC","Health Care","Equity","165.77","0.00","165.77","16,577.00","0.01","United States","NO MARKET (E.G. UNLISTED)","USD"
"ESU6","S&P500 EMINI SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","7,151,837.50","19.00","7,528.25","-","Index And Options Market","USD"
 
