,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
78,INCYTE CORP,US45337C1027,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Biotechnology,0.24%
79,FRESENIUS SE AND CO KGAA,DE0005785604,Germany,EUR,XETRA,Equities,Ba1,DAX Index,Health Care Services,0.23%
80,TERUMO CORP,JP3546800008,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Health Care Equipment,0.22%
81,ZIMMER BIOMET HOLDINGS INC,US98956P1021,United States,USD,New York Stock Exchange,Equities,Baa1,S&P 500 Index,Health Care Equipment,0.21%
82,NEUROCRINE BIOSCIENCES INC,US64125C1099,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Biotechnology,0.20%
83,GENMAB,DK0010272202,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Biotechnology,0.19%
84,STRAUMANN HOLDING AG,CH1175448666,Switzerland,CHF,-,Equities,-,Swiss Market Index,Health Care Equipment,0.18%
85,MEDLINE INC CLASS A,US58507V1070,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Health Care Supplies,0.18%
86,COOPER INC,US2166485019,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Health Care Supplies,0.17%
87,SIEMENS HEALTHINEERS AG,DE000SHL1006,Germany,EUR,XETRA,Equities,-,DAX Index,Health Care Equipment,0.16%
88,SHIONOGI LTD,JP3347200002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Pharmaceuticals,0.16%
89,FISHER AND PAYKEL HEALTHCARE CORPO,NZFAPE0001S2,New Zealand,NZD,New Zealand Exchange,Equities,-,NZX 50 Index,Health Care Equipment,0.16%
90,ROCHE HOLDING AG,CH0012032113,Switzerland,CHF,NASDAQ National Market System,Equities,-,Swiss Market Index,Pharmaceuticals,0.15%
91,SMITH AND NEPHEW PLC,GB0009223206,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Health Care Equipment,0.14%
92,SONOVA HOLDING AG,CH0012549785,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Health Care Equipment,0.14%
93,OLYMPUS CORP,JP3201200007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Health Care Equipment,0.14%
94,INSULET CORP,US45784P1012,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Health Care Equipment,0.13%
95,SIGMA HEALTHCARE LTD,AU000000SIG5,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Health Care Distributors,0.12%
96,EUROFINS SCIENTIFIC,FR0014000MR3,Luxembourg,EUR,-,Equities,-,-,Life Sciences Tools & Services,0.11%
97,ORION CLASS B,FI0009014377,Finland,EUR,Helsinki Stock Exchange,Equities,-,OMX Helsinki Index,Pharmaceuticals,0.11%
98,FRESENIUS MEDICAL CARE AG,DE0005785802,Germany,EUR,XETRA,Equities,Ba1,DAX Index,Health Care Services,0.10%
99,SWEDISH ORPHAN BIOVITRUM,SE0000872095,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Biotechnology,0.10%
100,QIAGEN NV,NL0015002SN0,Netherlands,EUR,-,Equities,-,DAX Index,Life Sciences Tools & Services,0.10%
101,PRO MEDICUS LTD,AU000000PME8,Australia,AUD,-,Equities,-,-,Health Care Technology,0.10%
102,COLOPLAST CLASS B,DK0060448595,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Health Care Supplies,0.09%
103,US DOLLAR,_CURRENCYUSD,United States,USD,-,Cash,-,-,unknown,0.09%
104,SONIC HEALTHCARE LTD,AU000000SHL7,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Health Care Services,0.08%
105,EISAI LTD,JP3160400002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Pharmaceuticals,0.08%
106,SARTORIUS PREF AG,DE0007165631,Germany,EUR,-,Equities,-,DAX Index,Life Sciences Tools & Services,0.08%
107,IPSEN SA,FR0010259150,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Pharmaceuticals,0.08%
108,RECORDATI INDUSTRIA CHIMICA E FARM,IT0003828271,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Pharmaceuticals,0.07%
109,SARTORIUS STEDIM BIOTECH SA,FR0013154002,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Life Sciences Tools & Services,0.07%
110,COCHLEAR LTD,AU000000COH5,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Health Care Equipment,0.07%
111,FINANCIERE DE TUBIZE SA,BE0003823409,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Pharmaceuticals,0.06%
