Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"4958","ZHEN DING TECHNOLOGY HOLDING LTD","Information Technology","Equity","10,117,596.49","0.15","10,117,596.49","540,437.00","18.72","Taiwan","Taiwan Stock Exchange","TWD"
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","10,002,903.19","0.15","10,002,903.19","5,478,100.00","1.83","Malaysia","Bursa Malaysia","MYR"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","9,990,001.12","0.15","9,990,001.12","5,077,909.00","1.97","India","National Stock Exchange Of India","INR"
"267260","HD HYUNDAI ELECTRIC LTD","Industrials","Equity","9,960,948.77","0.15","9,960,948.77","15,992.00","622.87","Korea (South)","Korea Exchange (Stock Market)","KRW"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","9,905,322.58","0.15","9,905,322.58","3,476,816.00","2.85","Mexico","Bolsa Mexicana De Valores","MXN"
"3443","GLOBAL UNICHIP CORP","Information Technology","Equity","9,844,877.51","0.15","9,844,877.51","59,000.00","166.86","Taiwan","Taiwan Stock Exchange","TWD"
"3231","WISTRON CORP","Information Technology","Equity","9,819,879.47","0.15","9,819,879.47","1,979,000.00","4.96","Taiwan","Taiwan Stock Exchange","TWD"
"ICT","INTERNATIONAL CONTAINER TERMINAL S","Industrials","Equity","9,788,445.55","0.15","9,788,445.55","660,050.00","14.83","Philippines","Philippine Stock Exchange Inc.","PHP"
"005490","POSCO","Materials","Equity","9,766,844.51","0.14","9,766,844.51","47,856.00","204.09","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","9,574,062.77","0.14","9,574,062.77","458,500.00","20.88","Taiwan","Taiwan Stock Exchange","TWD"
"2883","KGI FINANCIAL HOLDING LTD","Financials","Equity","9,382,763.23","0.14","9,382,763.23","10,742,255.00","0.87","Taiwan","Taiwan Stock Exchange","TWD"
"2059","KING SLIDE WORKS LTD","Information Technology","Equity","9,374,344.53","0.14","9,374,344.53","38,000.00","246.69","Taiwan","Taiwan Stock Exchange","TWD"
"6446","PHARMAESSENTIA CORP","Health Care","Equity","9,226,936.37","0.14","9,226,936.37","211,277.00","43.67","Taiwan","Taiwan Stock Exchange","TWD"
"066570","LG ELECTRONICS INC","Consumer Discretionary","Equity","9,223,156.46","0.14","9,223,156.46","74,615.00","123.61","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2301","LITE ON TECHNOLOGY CORP","Information Technology","Equity","9,049,307.35","0.13","9,049,307.35","1,305,000.00","6.93","Taiwan","Taiwan Stock Exchange","TWD"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","8,972,148.20","0.13","8,972,148.20","286,592,844.00","3.13","Taiwan","-","TWD"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","8,823,428.07","0.13","8,823,428.07","886,735.00","9.95","India","National Stock Exchange Of India","INR"
"ADCB","ABU DHABI COMMERCIAL BANK","Financials","Equity","8,758,944.25","0.13","8,758,944.25","2,221,705.00","3.94","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","8,750,624.22","0.13","8,750,624.22","2,896,405.00","3.02","India","National Stock Exchange Of India","INR"
"2368","GOLD CIRCUIT ELECTRONICS LTD","Information Technology","Equity","8,660,561.95","0.13","8,660,561.95","224,000.00","38.66","Taiwan","Taiwan Stock Exchange","TWD"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","8,580,242.01","0.13","8,580,242.01","70,951.00","120.93","India","National Stock Exchange Of India","INR"
"316140","WOORI FINANCIAL GROUP INC","Financials","Equity","8,575,425.60","0.13","8,575,425.60","441,748.00","19.41","Korea (South)","Korea Exchange (Stock Market)","KRW"
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","8,536,299.42","0.13","8,536,299.42","96,222.00","88.71","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"3008","LARGAN PRECISION LTD","Information Technology","Equity","8,440,480.08","0.13","8,440,480.08","62,773.00","134.46","Taiwan","Taiwan Stock Exchange","TWD"
"2379","REALTEK SEMICONDUCTOR CORP","Information Technology","Equity","8,273,736.06","0.12","8,273,736.06","325,874.00","25.39","Taiwan","Taiwan Stock Exchange","TWD"
"TPEIR","PIRAEUS BANK SA","Financials","Equity","8,228,514.37","0.12","8,228,514.37","773,212.00","10.64","Greece","Athens Exchange S.A. Cash Market","EUR"
"329180","HD HYUNDAI HEAVY INDUSTRIES LTD","Industrials","Equity","8,216,082.79","0.12","8,216,082.79","21,664.00","379.25","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2082","ACWA POWER CO","Utilities","Equity","8,187,954.24","0.12","8,187,954.24","158,226.00","51.75","Saudi Arabia","Saudi Stock Exchange","SAR"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","8,152,675.18","0.12","8,152,675.18","591,514.00","13.78","Saudi Arabia","Saudi Stock Exchange","SAR"
"EUROB","EUROBANK SA","Financials","Equity","8,149,806.52","0.12","8,149,806.52","1,683,709.00","4.84","Greece","Athens Exchange S.A. Cash Market","EUR"
"3661","ALCHIP TECHNOLOGIES LTD","Information Technology","Equity","8,121,937.86","0.12","8,121,937.86","53,000.00","153.24","Taiwan","Taiwan Stock Exchange","TWD"
"000810","SAMSUNG FIRE & MARINE INSURANCE LT","Financials","Equity","8,113,388.19","0.12","8,113,388.19","20,557.00","394.68","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Equity","7,992,658.31","0.12","7,992,658.31","7,953,442.00","1.00","Taiwan","Taiwan Stock Exchange","TWD"
"PEO","BANK PEKAO SA","Financials","Equity","7,984,645.60","0.12","7,984,645.60","128,100.00","62.33","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"2449","KING YUAN ELECTRONICS LTD","Information Technology","Equity","7,919,855.99","0.12","7,919,855.99","728,000.00","10.88","Taiwan","Taiwan Stock Exchange","TWD"
"3665","BIZLINK HOLDING INC","Industrials","Equity","7,855,365.11","0.12","7,855,365.11","123,000.00","63.86","Taiwan","Taiwan Stock Exchange","TWD"
"298040","HYOSUNG HEAVY INDUSTRIES CORP","Industrials","Equity","7,798,495.85","0.12","7,798,495.85","3,535.00","2,206.08","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ABG","ABSA GROUP LTD","Financials","Equity","7,788,472.33","0.12","7,788,472.33","567,371.00","13.73","South Africa","Johannesburg Stock Exchange","ZAR"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Consumer Staples","Equity","7,726,242.47","0.11","7,726,242.47","3,295,000.00","2.34","Taiwan","Taiwan Stock Exchange","TWD"
"010120","LS ELECTRIC LTD","Industrials","Equity","7,591,958.60","0.11","7,591,958.60","49,940.00","152.02","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","7,547,939.62","0.11","7,547,939.62","262,349.00","28.77","India","National Stock Exchange Of India","INR"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Communication","Equity","7,348,950.61","0.11","7,348,950.61","665,100.00","11.05","Thailand","Stock Exchange Of Thailand","THB"
"ADANIPORTS","ADANI PORTS AND SPECIAL ECONOMIC Z","Industrials","Equity","7,334,140.34","0.11","7,334,140.34","371,507.00","19.74","India","National Stock Exchange Of India","INR"
"PZU","PZU SA","Financials","Equity","7,323,039.43","0.11","7,323,039.43","405,105.00","18.08","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"373220","LG ENERGY SOLUTION LTD","Industrials","Equity","7,306,412.55","0.11","7,306,412.55","32,109.00","227.55","Korea (South)","Korea Exchange (Stock Market)","KRW"
"3034","NOVATEK MICROELECTRONICS CORP","Information Technology","Equity","7,304,791.42","0.11","7,304,791.42","431,300.00","16.94","Taiwan","Taiwan Stock Exchange","TWD"
"1010","RIYAD BANK","Financials","Equity","7,274,121.73","0.11","7,274,121.73","1,364,243.00","5.33","Saudi Arabia","Saudi Stock Exchange","SAR"
"033780","KT&G CORP","Consumer Staples","Equity","7,221,251.53","0.11","7,221,251.53","64,937.00","111.20","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PTT.R","PTT NON-VOTING DR PCL","Energy","Equity","7,138,085.12","0.11","7,138,085.12","6,649,900.00","1.07","Thailand","Stock Exchange Of Thailand","THB"
"INDIGO","INTERGLOBE AVIATION LTD","Industrials","Equity","7,125,923.07","0.11","7,125,923.07","124,864.00","57.07","India","National Stock Exchange Of India","INR"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrials","Equity","6,997,190.49","0.10","6,997,190.49","474,315.00","14.75","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","6,974,075.53","0.10","6,974,075.53","91,762.00","76.00","India","National Stock Exchange Of India","INR"
"SQM.B","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materials","Equity","6,946,219.55","0.10","6,946,219.55","94,809.00","73.27","Chile","Santiago Stock Exchange","CLP"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","6,924,710.42","0.10","6,924,710.42","7,662.00","903.77","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2880","HUA NAN FINANCIAL HOLDINGS LTD","Financials","Equity","6,903,420.56","0.10","6,903,420.56","6,024,932.00","1.15","Taiwan","Taiwan Stock Exchange","TWD"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","6,855,198.18","0.10","6,855,198.18","606,562.00","11.30","India","National Stock Exchange Of India","INR"
"009540","HD KOREA SHIPBUILDING & OFFSHORE E","Industrials","Equity","6,780,709.65","0.10","6,780,709.65","29,100.00","233.01","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SLM","SANLAM LIMITED LTD","Financials","Equity","6,767,854.91","0.10","6,767,854.91","1,239,362.00","5.46","South Africa","Johannesburg Stock Exchange","ZAR"
"3653","JENTECH PRECISION INDUSTRIAL LTD","Information Technology","Equity","6,744,932.30","0.10","6,744,932.30","62,000.00","108.79","Taiwan","Taiwan Stock Exchange","TWD"
