Fund Holdings as of,"06/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"3692","HANSOH PHARMACEUTICAL GROUP LTD","Health Care","Equity","5,927,046.46","0.22","5,927,046.46","1,368,000.00","4.33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"002371","NAURA TECHNOLOGY GROUP LTD A","Information Technology","Equity","5,746,771.34","0.21","5,746,771.34","48,618.00","118.20","China","Shenzhen Stock Exchange","CNY"
"601899","ZIJIN MINING GROUP LTD A","Materials","Equity","5,652,364.41","0.21","5,652,364.41","1,358,826.00","4.16","China","Shanghai Stock Exchange","CNY"
"3908","CHINA INTERNATIONAL CAPITAL CORP L","Financials","Equity","5,644,030.19","0.21","5,644,030.19","1,950,000.00","2.89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"788","CHINA TOWER CORP LTD H","Communication","Equity","5,570,419.75","0.21","5,570,419.75","4,848,800.00","1.15","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TME","TENCENT MUSIC ENTERTAINMENT GROUP","Communication","Equity","5,499,368.82","0.21","5,499,368.82","627,066.00","8.77","China","New York Stock Exchange Inc.","USD"
"6618","JD HEALTH INTERNATIONAL INC","Consumer Staples","Equity","5,475,662.52","0.20","5,475,662.52","1,136,700.00","4.82","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BZ","KANZHUN AMERICAN DEPOSITORY SHARES","Industrials","Equity","5,466,783.37","0.20","5,466,783.37","399,911.00","13.67","China","NASDAQ","USD"
"1658","POSTAL SAVINGS BANK OF CHINA LTD H","Financials","Equity","5,384,834.50","0.20","5,384,834.50","9,221,000.00","0.58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2259","ZIJIN GOLD INTERNATIONAL LTD","Materials","Equity","5,259,486.41","0.20","5,259,486.41","383,000.00","13.73","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1171","YANKUANG ENERGY GROUP COMPANY LTD","Energy","Equity","5,249,873.90","0.20","5,249,873.90","3,614,900.00","1.45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"300","MIDEA GROUP LTD CLASS H","Consumer Discretionary","Equity","5,241,655.40","0.20","5,241,655.40","465,300.00","11.27","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"20","SENSETIME GROUP CLASS B INC","Information Technology","Equity","5,210,636.51","0.19","5,210,636.51","30,497,000.00","0.17","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1530","3SBIO INC","Health Care","Equity","5,184,401.62","0.19","5,184,401.62","2,090,500.00","2.48","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"601318","PING AN INSURANCE (GROUP) OF CHINA","Financials","Equity","5,170,281.70","0.19","5,170,281.70","701,600.00","7.37","China","Shanghai Stock Exchange","CNY"
"291","CHINA RESOURCES BEER HOLDINGS LTD","Consumer Staples","Equity","5,127,877.80","0.19","5,127,877.80","1,767,000.00","2.90","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"836","CHINA RESOURCES POWER LTD","Utilities","Equity","5,078,933.84","0.19","5,078,933.84","2,301,159.00","2.21","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3808","SINOTRUK (HONG KONG) LTD","Industrials","Equity","5,025,731.88","0.19","5,025,731.88","920,500.00","5.46","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2382","SUNNY OPTICAL TECHNOLOGY LTD","Information Technology","Equity","5,004,108.23","0.19","5,004,108.23","704,600.00","7.10","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"USD","USD CASH","Cash and/or Derivatives","Cash","4,977,650.45","0.19","4,977,650.45","4,977,650.00","100.00","United States","-","USD"
"9626","BILIBILI INC","Communication","Equity","4,965,900.33","0.19","4,965,900.33","276,021.00","17.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1208","MMG LTD","Materials","Equity","4,932,520.02","0.18","4,932,520.02","5,343,200.00","0.92","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2331","LI NING LTD","Consumer Discretionary","Equity","4,902,381.80","0.18","4,902,381.80","2,529,500.00","1.94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2313","SHENZHOU INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","4,884,094.97","0.18","4,884,094.97","914,200.00","5.34","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2099","CHINA GOLD INTERNATIONAL RESOURCES","Materials","Equity","4,876,564.49","0.18","4,876,564.49","261,600.00","18.64","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"601288","AGRICULTURAL BANK OF CHINA LTD A","Financials","Equity","4,875,053.63","0.18","4,875,053.63","5,551,600.00","0.88","China","Shanghai Stock Exchange","CNY"
