Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ONT","ONTERRIS INC","Industrials","Equity","6,267,276.36","0.28","6,267,276.36","299,583.00","20.92","United States","New York Stock Exchange Inc.","USD"
"6332","TSUKISHIMA HOLDINGS LTD","Industrials","Equity","5,555,341.67","0.25","5,555,341.67","344,100.00","16.14","Japan","Tokyo Stock Exchange","JPY"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","4,886,775.76","0.22","4,886,775.76","3,654,074.00","133.73","United Kingdom","-","GBP"
"000598","CHENGDU XINGRONG ENVIRONMENT LTD A","Industrials","Equity","4,263,656.98","0.19","4,263,656.98","4,352,200.00","0.98","China","Shenzhen Stock Exchange","CNY"
"CDZI","CADIZ INC","Utilities","Equity","4,253,277.38","0.19","4,253,277.38","1,015,102.00","4.19","United States","NASDAQ","USD"
"AMATA.R","AMATA CORPORATION NON-VOTING DR PC","Real Estate","Equity","4,086,752.74","0.18","4,086,752.74","5,136,200.00","0.80","Thailand","Stock Exchange Of Thailand","THB"
"8936","KUO TOONG INTERNATIONAL LTD","Industrials","Equity","3,903,914.85","0.18","3,903,914.85","2,128,000.00","1.83","Taiwan","Gretai Securities Market","TWD"
"USD","USD CASH","Cash and/or Derivatives","Cash","3,701,404.15","0.17","3,701,404.15","3,701,404.00","100.00","United States","-","USD"
"000685","ZHONGSHAN PUBLIC UTILITIES GROUP L","Utilities","Equity","3,584,557.38","0.16","3,584,557.38","2,151,400.00","1.67","China","Shenzhen Stock Exchange","CNY"
"ERII","ENERGY RECOVERY INC","Industrials","Equity","3,314,920.44","0.15","3,314,920.44","374,991.00","8.84","United States","NASDAQ","USD"
"600008","BEIJING CAPITAL ECO-ENVIRONMENT PR","Utilities","Equity","3,240,805.52","0.15","3,240,805.52","8,028,800.00","0.40","China","Shanghai Stock Exchange","CNY"
"300070","BEIJING ORIGINWATER TECHNOLOGY LTD","Industrials","Equity","2,581,526.49","0.12","2,581,526.49","5,310,200.00","0.49","China","Shenzhen Stock Exchange","CNY"
"JINDALSAW","JINDAL SAW LTD","Materials","Equity","2,245,303.94","0.10","2,245,303.94","814,702.00","2.76","India","National Stock Exchange Of India","INR"
"600461","JIANGXI HONGCHENG ENVIRONMENT LTD","Utilities","Equity","1,913,201.04","0.09","1,913,201.04","1,404,000.00","1.36","China","Shanghai Stock Exchange","CNY"
"5602","KURIMOTO LTD","Materials","Equity","1,552,127.67","0.07","1,552,127.67","178,800.00","8.68","Japan","Tokyo Stock Exchange","JPY"
"BRL","BRL CASH","Cash and/or Derivatives","Cash","1,477,725.87","0.07","1,477,725.87","7,677,081.00","19.25","Brazil","-","BRL"
"2128","CHINA LESSO GROUP HOLDINGS LTD","Industrials","Equity","1,465,871.90","0.07","1,465,871.90","3,074,000.00","0.48","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","1,255,108.92","0.06","1,255,108.92","1,952,572,953.00","0.06","Korea (South)","-","KRW"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","804,817.62","0.04","804,817.62","6,312,144.00","12.75","Hong Kong","-","HKD"
"BZFUT","CASH COLLATERAL USD BZFUT","Cash and/or Derivatives","Cash Collateral and Margins","752,000.00","0.03","752,000.00","752,000.00","100.00","United States","-","USD"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","574,246.80","0.03","574,246.80","92,479,576.00","0.62","Japan","-","JPY"
"603279","JINGJIN EQUIPMENT INC A","Industrials","Equity","525,977.08","0.02","525,977.08","289,100.00","1.82","China","Shanghai Stock Exchange","CNY"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","485,794.73","0.02","485,794.73","424,534.00","114.43","European Union","-","EUR"
"MYR","MYR CASH","Cash and/or Derivatives","Cash","337,419.31","0.02","337,419.31","1,376,671.00","24.51","Malaysia","-","MYR"
"BZFUT","CASH COLLATERAL EUR BZFUT","Cash and/or Derivatives","Cash Collateral and Margins","221,994.20","0.01","221,994.20","194,000.00","114.43","European Union","-","EUR"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","174,676.05","0.01","174,676.05","140,169.00","124.62","Switzerland","-","CHF"
"INR","INR CASH","Cash and/or Derivatives","Cash","75,982.90","0.00","75,982.90","7,248,199.00","1.05","India","-","INR"
"CNH","CNH CASH","Cash and/or Derivatives","Cash","67,967.98","0.00","67,967.98","461,373.00","14.73","China","-","CNH"
"MXN","MXN CASH","Cash and/or Derivatives","Cash","63,210.12","0.00","63,210.12","1,104,028.00","5.73","Mexico","-","MXN"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","63,071.02","0.00","63,071.02","2,014,646.00","3.13","Taiwan","-","TWD"
"SAR","SAR CASH(COMMITTED)","Cash and/or Derivatives","Cash","50,650.88","0.00","50,650.88","190,179.00","26.63","Saudi Arabia","-","SAR"
"DKK","DKK CASH","Cash and/or Derivatives","Cash","41,344.37","0.00","41,344.37","270,068.00","15.31","Denmark","-","DKK"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","39,036.80","0.00","39,036.80","56,298.00","69.34","Australia","-","AUD"
"SGD","SGD CASH","Cash and/or Derivatives","Cash","36,426.54","0.00","36,426.54","47,041.00","77.44","Singapore","-","SGD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","34,992.58","0.00","34,992.58","49,625.00","70.51","Canada","-","CAD"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","30,760.72","0.00","30,760.72","297,029.00","10.36","Sweden","-","SEK"
"ILS","ILS CASH","Cash and/or Derivatives","Cash","13,345.66","0.00","13,345.66","39,958.00","33.40","Israel","-","ILS"
"ICSSAGD","BLK ICS GBP LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","1,520.46","0.00","1,520.46","1,137.00","1.34","Ireland","-","GBP"
"ETD_CAD","ETD CAD BALANCE WITH 06738C","Cash and/or Derivatives","Cash","0.04","0.00","0.04","0.00","70.51","Canada","-","CAD"
"BRL","BRL/USD","Cash and/or Derivatives","FX","-9.42","0.00","-9.42","-1,971,298.00","1.00","United States","-","USD"
"JPY","JPY/USD","Cash and/or Derivatives","FX","-3.05","0.00","-3.05","-49,521,040.00","1.00","United States","-","USD"
"QBU6","STOXX 600 INDUS SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","2,737,165.60","40.00","1,368.58","European Union","Eurex Deutschland","EUR"
"FAU6","S&P MID 400 EMINI SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","4,975,750.00","13.00","3,827.50","-","Index And Options Market","USD"
"IXSU6","E-MINI UTILITIES SELECT SECTOR SEP","Cash and/or Derivatives","Futures","0.00","0.00","6,695,280.00","72.00","929.90","-","Chicago Mercantile Exchange","USD"
 
